               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.008669,           0.0030266,           0.0011436,             0.99291,             0.99857,               0.995,             0.96383,           0.0059289,           0.0013765,            0.000219,            0.001783,            0.001783,            0.001783
                  85,           0.0082722,           0.0029414,           0.0011021,              0.9931,             0.99868,               0.995,             0.96311,           0.0059311,           0.0013756,          0.00021196,            0.001684,            0.001684,            0.001684
                  86,           0.0085068,           0.0029641,           0.0011729,             0.99307,             0.99897,               0.995,             0.96337,           0.0059454,           0.0013801,          0.00019911,            0.001585,            0.001585,            0.001585
                  87,           0.0081888,           0.0029264,           0.0010269,             0.99282,             0.99821,               0.995,             0.96471,           0.0059122,           0.0013555,           0.0001859,            0.001486,            0.001486,            0.001486
                  88,           0.0083061,           0.0029374,           0.0010257,             0.99313,             0.99772,               0.995,              0.9644,           0.0058687,           0.0013524,          0.00016411,            0.001387,            0.001387,            0.001387
                  89,           0.0080265,            0.002911,           0.0010172,             0.99283,             0.99905,               0.995,             0.96466,           0.0058746,           0.0013593,          0.00015662,            0.001288,            0.001288,            0.001288
                  90,           0.0078507,           0.0028395,           0.0011202,              0.9928,             0.99949,               0.995,             0.96498,           0.0058536,           0.0013454,          0.00014356,            0.001189,            0.001189,            0.001189
                  91,           0.0078159,           0.0028639,          0.00093802,             0.99322,             0.99914,               0.995,             0.96472,           0.0058185,           0.0013434,          0.00013188,             0.00109,             0.00109,             0.00109
                  92,           0.0075019,           0.0027942,          0.00088139,             0.99352,             0.99905,               0.995,             0.96513,           0.0058036,           0.0013421,          0.00011976,            0.000991,            0.000991,            0.000991
                  93,           0.0075297,           0.0028201,          0.00089575,             0.99369,             0.99945,               0.995,             0.96566,           0.0057841,           0.0013391,          0.00011416,            0.000892,            0.000892,            0.000892
                  94,           0.0074518,           0.0027968,          0.00085614,             0.99355,             0.99918,               0.995,             0.96609,           0.0057698,           0.0013403,          0.00010588,            0.000793,            0.000793,            0.000793
                  95,           0.0072127,           0.0027634,          0.00089961,             0.99372,             0.99904,               0.995,             0.96646,           0.0057603,           0.0013366,          9.9249e-05,            0.000694,            0.000694,            0.000694
                  96,           0.0070852,           0.0027331,          0.00087638,             0.99402,             0.99903,               0.995,             0.96617,            0.005769,             0.00134,          9.7527e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0069505,           0.0027636,          0.00079055,             0.99412,              0.9992,               0.995,              0.9668,           0.0057459,           0.0013457,          9.1582e-05,            0.000496,            0.000496,            0.000496
                  98,           0.0067841,           0.0026121,          0.00073208,             0.99399,             0.99919,               0.995,             0.96663,           0.0057323,           0.0013433,          8.5935e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0066738,           0.0026286,           0.0006246,             0.99408,             0.99916,               0.995,             0.96633,           0.0057219,           0.0013475,          8.2216e-05,            0.000298,            0.000298,            0.000298
